DIST,YEAR,FEMALE_age_ 6YRS_ATTEND_SCHOOL,CHILDREN_below_5YRS_birth REGISTERED,HOUSEHOLD_USING_IODIZED_SALT,HOUSEHOLD_COVERED_ANY_HEALTH_SCHEME,WOMEN_10YRS_OR_MORE_SCHOOLING,MOTHER_ANTENATAL_CHECKUP,PREGNANT_TIME_CONSUMED_FOLIC_ACID,MOTHER_ANTENATAL_FULLCARE,CHILDREN_UNDER_5_YRS_STUNTED,CHILDREN_UNDER_5_YRS_WASTING,CHILDREN_UNDER_5_YRS_SEVERELY_WASTING,CHILDREN_UNDER_5_YRS_UNDER_WEIGHT,WOMEN_BMI_BELOW_NORMAL,MEN_BMI_BELOW_NORMAL,WOMEN_BMI_OVERWEIGHT,MEN_BMI_OVERWEIGHT,CHILDREN_ANAEMIC_6_59_MONTHS,WOMEN_ANAEMIC_15_49_YEARS,WOMEN_HIGH_BLOOD_SUGAR,MEN_HIGH_BLOOD_SUGAR,WOMEN_MODERATELY_HYPERTENSION,MEN_MODERATELY_HYPERTENSION
55,2015,79.8,92.9,98.9,49.8,58.4,90.4,73.1,62.6,15.7,14.1,4.5,16.8,12.9,19.6,47.9,33.7,54.9,54,9,8.3,2.2,3.4
118,2015,79.2,96.7,94.5,14.5,41.5,85.9,53.4,50.2,34,28.6,8.9,38.5,31.8,20.8,12.4,17,47.4,50.7,3.5,14.5,0.8,3.7
169,2015,82.1,98.4,98.6,16.9,62.2,69.2,35.2,26,26.8,15.1,4.8,20.5,15,8.8,31.2,24.4,59.8,59.7,7.4,1.9,1.9,6.8
154,2015,48.8,76.3,96.3,11,15.6,62.6,18.5,9.1,38.6,33.5,15.1,50.1,30.6,30.8,7.2,5.6,77.7,58.6,4.4,10.3,0.3,2.3
25,2015,56.7,73.9,81.4,11.5,11.2,45.1,14.3,3.1,51.3,26.8,8.4,48.8,35,42.7,7.2,2.6,72,61.2,3.2,3.8,0.6,0.8
89,2015,73.9,93.4,74,73.4,45.9,76.5,72.5,53.6,26.4,18.5,6.8,18.1,18,20,27.1,29,52,60.1,7.6,15.3,1.1,1.7
156,2015,49.3,59.3,82.6,18.1,12.2,55.6,10.9,6.6,40.9,25.2,9.7,41.2,23.5,20.8,13.9,13.8,66.1,46.1,2.6,9.8,0.7,2.7
616,2015,62.6,94.9,98.7,7.7,13.4,34.5,11.4,4.8,48.9,23.2,9.8,39.7,32.2,14.3,6.1,15.1,43.3,51.3,2.7,3.8,1.8,1.9
2001,2015,62.6,95,95.9,35.3,31.1,66.4,45.4,34.9,36.4,37.5,10.5,44.7,45,36.3,7.5,5.2,49.7,55.1,5.7,8.7,1.4,3.3
1080,2015,68.1,100,78.4,75.6,44.2,76.6,81.1,66.8,29.6,20.4,9.4,25.6,20.4,18.1,19.1,19.7,50.8,47.4,4.4,8.7,2.5,1.8
1009,2015,70.8,100,96.3,9.2,47.2,72.9,48.8,44.4,26.1,35.5,17.4,29.7,11.7,10.6,21,18.2,78,57.3,5.2,7.7,1.8,1.3
131,2015,69.6,96.7,96.7,17.4,22.7,61.4,32.6,22.2,44.1,29,7.1,49.4,43.6,35.8,15,9.3,56.3,56.2,5.6,9.3,1.8,4.1
187,2015,71.8,98.3,97.4,9,51.9,73.5,25.8,14.7,34.6,22.1,10.9,29.1,13.7,4.3,32.8,29.1,60.7,70.7,4.7,2.2,0.9,0
185,2015,70,100,94,7.2,42.4,74.4,32.6,15.2,32.4,22,8.2,25.4,10.7,4.5,19.5,18.2,63.9,55.8,2.8,4.2,0.9,1.5
152,2015,42.3,49.4,89.7,31.1,5.8,38.2,9.3,4.4,38.5,22.6,10.8,38.3,27.4,21.8,10.5,9.1,43.2,34.3,1.8,3.6,0.1,1.5
963,2015,56.1,60.7,97.7,30.1,18,26.5,7.1,2.5,44.9,29.5,11.1,45.3,31,29.9,6.7,9.5,49,53.2,2,7.2,1.2,3.1
528,2015,66.1,48.4,94.6,1.6,28.2,39.3,6.5,2.8,43.8,12.7,3.9,28.8,23.7,22.1,10.1,9.8,45.7,32.8,3.9,6.3,0.3,0.5
211,2015,57,79,79.2,2.5,22.7,56.7,5,2.7,41.3,27.5,10.4,43.1,30.2,11.3,9.6,3,80.9,58.3,3.6,3.8,0.3,0
524,2015,62.6,99.4,87.2,11.5,35.9,81.6,54.9,28.8,35.8,23.9,10.2,39.3,16.4,17.7,22,25.4,69.7,60.6,5.1,5.5,0.9,0.9
934,2015,56.8,66,97,17.7,29.7,42.5,14.1,4.1,54.7,18.5,8.1,49.3,31.2,29.7,9.5,10.2,62.6,58.5,5.2,4.4,1.1,0
205,2015,62.4,62.6,96,6.2,28.3,62.3,14.2,6.9,43.2,20.3,5.6,42.2,26.5,33.5,17.1,4.9,69.9,57.7,5.4,10.5,1,0
27,2015,60.3,79.1,92.9,10.6,21.9,53.7,21.7,5.6,50.3,30.9,14.1,51,32.1,29,11.1,9.8,74.2,64.4,1.2,2.1,0.5,0
1062,2015,55.8,86.6,98,6.6,14,46.8,19.8,10.6,36.1,27.7,8.5,40.4,34.2,15.5,11.5,15,68.6,52.2,6.8,13.2,1.3,4.9
