Key,Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
5201114,5,2011,14,Chhattisgarh,Raigarh,1657,985,-1,-1,-1,1100,-1,-1,-1,4613,3523,5044,-1,-1,-1,4062,-1
5201214,5,2012,14,Chhattisgarh,Raigarh,1833,1279,1879,-1,-1,1168,-1,-1,4624,5174,3849,6365,4408,-1,-1,4454,-1
5201314,5,2013,14,Chhattisgarh,Raigarh,1956,1410,1991,-1,-1,1238,-1,-1,4097,5008,3903,8667,4788,-1,-1,4301,-1
5201414,5,2014,14,Chhattisgarh,Raigarh,2152,1526,1986,-1,-1,1667,-1,-1,4436,5999,4200,11269,4583,-1,-1,4358,-1
5201514,5,2015,14,Chhattisgarh,Raigarh,2728,1402,2102,2011,1414,1330,-1,1621,4688,10275,4259,9294,7401,-1,5682,4214,-1
5201614,5,2016,14,Chhattisgarh,Raigarh,3092,1485,2491,2000,3283,1501,-1,2833,5567,5468,4213,9605,6186,-1,-1,4293,-1
6199014,6,1990,14,Chhattisgarh,Surguja,355,-1,292,250,-1,169,-1,219,873,837,842,865,983,-1,916,-1,-1
6199114,6,1991,14,Chhattisgarh,Surguja,397,-1,356,-1,-1,221,-1,200,781,1067,1089,1322,999,-1,881,-1,-1
6199214,6,1992,14,Chhattisgarh,Surguja,452,272,417,404,-1,271,-1,319,906,1000,986,1087,960,-1,878,-1,-1
6199314,6,1993,14,Chhattisgarh,Surguja,540,325,430,-1,-1,201,-1,389,1064,1247,1084,1088,994,-1,891,-1,-1
6199414,6,1994,14,Chhattisgarh,Surguja,551,332,491,550,-1,397,-1,448,1289,1536,1090,1430,1203,-1,1223,-1,-1
6199514,6,1995,14,Chhattisgarh,Surguja,760,465,462,400,387,397,358,367,1137,1321,1426,1290,1057,-1,1057,828,1894
6199614,6,1996,14,Chhattisgarh,Surguja,905,-1,575,500,-1,382,667,473,1349,1437,1164,1338,1077,-1,1165,-1,-1
6199714,6,1997,14,Chhattisgarh,Surguja,915,418,603,425,336,421,400,444,1446,1417,1064,1438,1311,1034,1132,1160,2123
6199814,6,1998,14,Chhattisgarh,Surguja,-1,387,625,500,-1,436,250,449,1198,-1,1409,2267,1432,-1,1344,-1,-1
6199914,6,1999,14,Chhattisgarh,Surguja,-1,340,707,525,-1,425,300,567,1437,1496,1272,1479,1204,-1,1342,-1,-1
6200014,6,2000,14,Chhattisgarh,Surguja,-1,420,-1,617,-1,351,-1,352,-1,-1,1209,1499,-1,-1,-1,-1,-1
6200114,6,2001,14,Chhattisgarh,Surguja,-1,395,604,522,-1,426,-1,540,1703,1312,1272,1398,1194,-1,1275,-1,-1
6200214,6,2002,14,Chhattisgarh,Surguja,-1,436,645,620,-1,442,-1,432,1884,1587,1375,1845,1462,-1,1733,-1,-1
6200314,6,2003,14,Chhattisgarh,Surguja,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6200414,6,2004,14,Chhattisgarh,Surguja,806,550,637,-1,-1,-1,-1,514,1683,1514,-1,-1,1610,-1,1518,-1,-1
6200514,6,2005,14,Chhattisgarh,Surguja,807,563,775,601,-1,519,-1,572,1883,1768,1524,2205,1541,-1,1664,-1,-1
6200614,6,2006,14,Chhattisgarh,Surguja,901,615,941,1250,-1,587,-1,580,2478,1836,1604,2041,1656,-1,2153,-1,-1
6200714,6,2007,14,Chhattisgarh,Surguja,1013,767,1083,986,-1,561,-1,700,2861,2479,1978,2476,2395,-1,2458,-1,-1
6200814,6,2008,14,Chhattisgarh,Surguja,1140,952,-1,-1,-1,610,-1,-1,-1,3100,2332,4110,-1,-1,-1,1957,-1
