Key,Dist Code,Year,State Code,State Name,Dist Name,DIESEL PUMPSETS NUMBER (1000 Number),DIESEL PUMPSETS DENSITY (Per 1000 ha),ELECTRIC PUMPSETS NUMBER (1000 Number),ELECTRIC PUMPSETS DENSITY (Per 1000 ha),POWER TILLER NUMBER (1000 Number),POWER TILLER DENSITY (Per 1000 ha),TRACTORS NUMBER (1000 Number),TRACTORS DENSITY (Per 1000 ha)
4819921,48,1992,1,Andhra Pradesh,Krishna,7.28,152.5,9.97,208.67,0.39,8.21,5.41,113.18
4819991,48,1999,1,Andhra Pradesh,Krishna,6.44,135.02,11.17,234.07,0.22,4.69,7.32,153.38
4820031,48,2003,1,Andhra Pradesh,Krishna,9.23,195.48,15.59,330.1,0.33,6.92,4.74,100.46
4820071,48,2007,1,Andhra Pradesh,Krishna,-1,-1,0.35,7.37,-1,-1,7.91,166.02
4919921,49,1992,1,Andhra Pradesh,Guntur,5.49,92.32,8.79,147.84,0.35,5.87,4.31,72.55
4919991,49,1999,1,Andhra Pradesh,Guntur,6.11,95.99,13.98,219.78,0.23,3.65,6.38,100.2
4920031,49,2003,1,Andhra Pradesh,Guntur,0,0,0,0,0,0,0,0
4920071,49,2007,1,Andhra Pradesh,Guntur,-1,-1,0.15,2.42,-1,-1,10.84,173.71
5019921,50,1992,1,Andhra Pradesh,S.P.S.Nellore,9.95,326.17,43.35,1421.56,0.06,1.93,3.85,126.38
5019991,50,1999,1,Andhra Pradesh,S.P.S.Nellore,9.38,319.28,43.47,1479.77,0.08,2.83,5.79,197.2
5020031,50,2003,1,Andhra Pradesh,S.P.S.Nellore,7.43,242.72,54.4,1776.8,0.27,8.66,5.16,168.64
5020071,50,2007,1,Andhra Pradesh,S.P.S.Nellore,-1,-1,0.09,2.64,-1,-1,8.17,236.92
5119921,51,1992,1,Andhra Pradesh,Kurnool,7.25,80.51,17.85,198.1,0.29,3.25,2.14,23.71
5119991,51,1999,1,Andhra Pradesh,Kurnool,9.13,107.37,32.4,381.08,1.2,14.12,4.28,50.39
5120031,51,2003,1,Andhra Pradesh,Kurnool,5.66,64.93,25.53,292.65,1.01,11.6,2.84,32.54
5120071,51,2007,1,Andhra Pradesh,Kurnool,-1,-1,1.35,15.07,-1,-1,3.06,34.23
5219921,52,1992,1,Andhra Pradesh,Anantapur,4.83,49.45,43.97,450.49,0.92,9.46,2.59,26.51
5219991,52,1999,1,Andhra Pradesh,Anantapur,2.38,24.32,57.24,586.24,1.15,11.74,3.93,40.24
5220031,52,2003,1,Andhra Pradesh,Anantapur,3.79,39.3,67.75,702.39,1.24,12.88,2.97,30.75
5220071,52,2007,1,Andhra Pradesh,Anantapur,-1,-1,1.42,12.77,-1,-1,5.24,47.05
5319921,53,1992,1,Andhra Pradesh,Kadapa YSR,6.86,187.51,35.52,970.76,0.11,3.06,1.88,51.46
5319991,53,1999,1,Andhra Pradesh,Kadapa YSR,7.22,193.1,42.51,1136.57,0.36,9.68,3.37,90.02
5320031,53,2003,1,Andhra Pradesh,Kadapa YSR,4.25,113.62,6.73,180.08,0.42,11.26,4.63,123.81
5320071,53,2007,1,Andhra Pradesh,Kadapa YSR,-1,-1,0.53,13.48,-1,-1,7.52,191.71
5419921,54,1992,1,Andhra Pradesh,Chittoor,12.54,271.15,105.24,2275.75,0.2,4.39,3.99,86.35
5419991,54,1999,1,Andhra Pradesh,Chittoor,9.07,214.76,110.98,2626.75,0.5,11.91,6,142.04
5420031,54,2003,1,Andhra Pradesh,Chittoor,4.59,130.57,109.69,3118.92,0.38,10.69,5,142.17
5420071,54,2007,1,Andhra Pradesh,Chittoor,-1,-1,4.32,118.41,-1,-1,6.23,170.47
55199220,55,1992,20,Telangana,Hyderabad,0,-1,0.01,-1,0,-1,0,-1
55199920,55,1999,20,Telangana,Hyderabad,0,0,0.01,813.95,0,0,0,116.28
55200320,55,2003,20,Telangana,Hyderabad,5.09,-1,38.59,-1,0.16,-1,2.39,-1
55200720,55,2007,20,Telangana,Hyderabad,-1,-1,0,-1,-1,-1,0.03,-1
56199220,56,1992,20,Telangana,Nizamabad,0.82,33.98,40.83,1697.98,0.1,4.33,1.28,53.28
56199920,56,1999,20,Telangana,Nizamabad,1.12,43.27,72.97,2811.76,0.19,7.21,2.58,99.5
56200320,56,2003,20,Telangana,Nizamabad,0.35,17.03,77.39,3766.17,0.28,13.58,2.27,110.52
56200720,56,2007,20,Telangana,Nizamabad,-1,-1,1.84,68.57,-1,-1,2.83,105.39
57199220,57,1992,20,Telangana,Medak,3.46,87.41,63.93,1615.72,2.74,69.17,2.19,55.42
57199920,57,1999,20,Telangana,Medak,1.11,25.2,79.48,1812.17,0.17,3.78,3.26,74.24
57200320,57,2003,20,Telangana,Medak,0.7,15.71,116.9,2627.64,0.5,11.19,3.8,85.44
